atm_id,city,street,house,full_address,address,lat,lon
43,Астана пр-т Кабанбай батыра 62,,,Астана пр-т Кабанбай батыра 62,"Астана пр-т Кабанбай батыра 62, nan nan, Kazakhstan",51.089347,71.405441
44,Астана,шоссе Алаш,20А,"Астана, шоссе Алаш, 20А","Астана, шоссе Алаш 20А, Kazakhstan",51.189554,71.457522
45,Астана,ул. Ташенова,17,"Астана, ул. Ташенова, 17","Астана, ул. Ташенова 17, Kazakhstan",51.152782,71.44603
46,Астана,ул. Абая,47,"Астана, ул. Абая, 47","Астана, ул. Абая 47, Kazakhstan",51.170013,71.43067
47,Астана,ул. Куйши Дина,31,"Астана, ул. Куйши Дина, 31","Астана, ул. Куйши Дина 31, Kazakhstan",51.152313,71.485413
48,Астана,Ул. Кунаева,8,"Астана, Ул. Кунаева, 8","Астана, Ул. Кунаева 8, Kazakhstan",51.130284,71.423419
49,Астана,ул. Достык,8А,"Астана, ул. Достык, 8А","Астана, ул. Достык 8А, Kazakhstan",51.126256,71.418538
50,Астана,пр. Абылай-Хана,34,"Астана, пр. Абылай-Хана, 34","Астана, пр. Абылай-Хана 34, Kazakhstan",51.153698,71.485218
51,Астана,Ул. Ташенова,17,"Астана, Ул. Ташенова, 17","Астана, Ул. Ташенова 17, Kazakhstan",51.152782,71.44603
52,Астана,ул. Достык,13/3,"Астана, ул. Достык, 13/3","Астана, ул. Достык 13/3, Kazakhstan",51.125838,71.434493
53,Астана,ул.Петрова,24,"Астана, ул.Петрова, 24","Астана, ул.Петрова 24, Kazakhstan",51.148691,71.47272
54,Астана,ул. Сыганак,1Б,"Астана, ул. Сыганак, 1Б","Астана, ул. Сыганак 1Б, Kazakhstan",51.132704,71.366795
55,Астана,Ул. Е522,15,"Астана, Ул. Е522, 15","Астана, Ул. Е522 15, Kazakhstan",51.041188,71.438652
56,Астана,Ул. Достык 16,Уг. Ул. Туркестан,"Астана, Ул. Достык 16, Уг. Ул. Туркестан","Астана, Ул. Достык 16 Уг. Ул. Туркестан, Kazakhstan",51.124932,71.432105
57,Астана,ул. Кабанбай батыра,60/15,"Астана, ул. Кабанбай батыра, 60/15","Астана, ул. Кабанбай батыра 60/15, Kazakhstan",51.091709,71.408484
58,Акмолинская обл.,Целиноградский р-он,с. Красноярка,"Акмолинская обл., Целиноградский р-он, с. Красноярка","Акмолинская обл., Целиноградский р-он с. Красноярка, Kazakhstan",51.208297,70.861262
59,Астана,ул. Масаты,24,"Астана, ул. Масаты, 24","Астана, ул. Масаты 24, Kazakhstan",51.132557,71.51161
60,Астана,ул. Конституции,10,"Астана , ул. Конституции, 10","Астана, ул. Конституции 10, Kazakhstan",51.195686,71.397438
61,Астана просп. Кабанбай батыра,119,119,"Астана просп. Кабанбай батыра, 119","Астана просп. Кабанбай батыра, 119 119, Kazakhstan",51.02834,71.46366
62,Акмолинская обл.,"г. Косшы, ул. Республика",27,"Акмолинская обл., г. Косшы, ул. Республика, 27","Акмолинская обл., г. Косшы, ул. Республика 27, Kazakhstan",50.990352,71.367199
63,Астана,ул. Турана,36,"Астана, ул. Турана, 36","Астана, ул. Турана 36, Kazakhstan",51.120611,71.405006
64,Астана,Ул. Байтурсынова,2С,"Астана, Ул. Байтурсынова, 2С","Астана, Ул. Байтурсынова 2С, Kazakhstan",51.121718,71.482775
65,Астана,Ул. Бейбитшилик,25,"Астана, Ул. Бейбитшилик, 25","Астана, Ул. Бейбитшилик 25, Kazakhstan",51.172161,71.418919
66,Астана,ул. Достык,8/1,"Астана, ул. Достык, 8/1","Астана, ул. Достык 8/1, Kazakhstan",51.126256,71.418538
67,Астана,ул. Иманова,19,"Астана, ул. Иманова, 19","Астана, ул. Иманова 19, Kazakhstan",51.164812,71.44256
68,Астана,пр. Республики,45,"Астана, пр. Республики, 45","Астана, пр. Республики 45, Kazakhstan",51.174931,71.423814
69,Астана,ул. Женис,33,"Астана, ул. Женис, 33","Астана, ул. Женис 33, Kazakhstan",51.173941,71.41086
70,Астана,ул. Айтматова,44,"Астана, ул. Айтматова, 44","Астана, ул. Айтматова 44, Kazakhstan",51.148948,71.37053
71,Астана,ул. А91,16,"Астана, ул. А91, 16","Астана, ул. А91 16, Kazakhstan",51.1185,71.525769
72,Астана,ул. Е 10,17/10,"Астана, ул. Е 10, 17/10","Астана, ул. Е 10 17/10, Kazakhstan",51.131201,71.39261
