edge_id,weekday_traffic,hourly_weekday_traffic,weekend_traffic,hourly_weekend_traffic,geometry
19141732935448368,1,0,1,0,"LINESTRING (71.4681176971 51.1283468337, 71.4681482399 51.1284246329, 71.4681484195 51.1284258732, 71.4681493178 51.1284613902, 71.4681477907 51.1284645472, 71.4681217396 51.128488789, 71.4681180565 51.1284907621, 71.4680731407 51.1285037286, 71.4680716136 51.1285041233, 71.4675047766 51.1285926336)"
19141732935448414,160,6,43,1,"LINESTRING (71.4858130709 51.1275572207, 71.4854483549 51.1280623581)"
19141732935448415,932,38,1813,75,"LINESTRING (71.4854320056 51.1280577352, 71.4857967216 51.1275525977)"
19141732935448436,379,15,371,15,"LINESTRING (71.4851338548 51.1285015863, 71.4850332434 51.1286357613)"
19141732935448484,940,39,3070,127,"LINESTRING (71.4598558915 51.1292999214, 71.4635237128 51.1287356029)"
19141732935448506,319,13,423,17,"MULTILINESTRING ((71.4858135201 51.1275563186, 71.4856652981 51.1279120577, 71.4856650286 51.1279126215, 71.4856030448 51.128015791, 71.4856028652 51.1280160728, 71.48545644959152 51.12822408848898), (71.48545644959152 51.12822408848898, 71.4854564398 51.1282241024, 71.4854567093 51.128223595, 71.48545644959152 51.12822408848898), (71.48545644959152 51.12822408848898, 71.48542462195728 51.12828456624956), (71.48542462195728 51.12828456624956, 71.4854243699 51.1282850452, 71.4854247292 51.1282841432, 71.48542462195728 51.12828456624956), (71.48542462195728 51.12828456624956, 71.48541242911023 51.128332664415424), (71.48541242911023 51.128332664415424, 71.4854121528 51.1283337544, 71.4854119732 51.1283315557, 71.48541242911023 51.128332664415424), (71.48541242911023 51.128332664415424, 71.4854263462 51.128366509))"
19141732935448507,268,11,27,1,"MULTILINESTRING ((71.4854090986 51.1283692151, 71.4853947255 51.1283342618, 71.4853945458 51.1283320631, 71.4854071223 51.1282824519, 71.4854074816 51.1282815499, 71.4854398209 51.1282200996, 71.4854400904 51.1282195922, 71.4855864459009 51.12801166200704), (71.4855864459009 51.12801166200704, 71.4855865158 51.1280115627, 71.4855863362 51.1280118446, 71.4855864459009 51.12801166200704), (71.4855864459009 51.12801166200704, 71.48564820704843 51.12790886293712), (71.48564820704843 51.12790886293712, 71.4856483199 51.1279086751, 71.4856480504 51.1279092389, 71.48564820704843 51.12790886293712), (71.48564820704843 51.12790886293712, 71.4857962724 51.1275534998))"
19141732935448561,170,7,80,3,"LINESTRING (71.480842962 51.1283623935, 71.4775506364 51.1291150106)"
19141732935448590,2140,89,1590,66,"LINESTRING (71.4907141893 51.1274714144, 71.4908228854 51.1275018582)"
19141732935448591,3365,140,3638,151,"LINESTRING (71.4908156989 51.1275121189, 71.4907070028 51.1274816751)"
19141732935448600,1061,44,1999,83,"LINESTRING (71.4960924029 51.128834035, 71.4962424216 51.1288763167)"
19141732935448601,786,32,1423,59,"LINESTRING (71.496235235 51.1288865771, 71.4960852164 51.1288442954)"
19141732935448610,171,7,259,10,"LINESTRING (71.4814407908 51.1292326658, 71.480831733 51.1283594056)"
19141732935448661,1069,44,2341,97,"LINESTRING (71.4968549827 51.1289536641, 71.4961677716 51.1287597318)"
19141732935448664,1,0,1,0,"LINESTRING (71.4962425114 51.1288763167, 71.4967976702 51.1290336045)"
19141732935448707,730,30,1173,48,"LINESTRING (71.4815402343 51.1292206015, 71.4814513011 51.1292358228)"
19141732935448709,256,10,154,6,"LINESTRING (71.4849702715 51.1286970982, 71.4850169839 51.1286311384)"
19141732935448734,1879,78,1881,78,"LINESTRING (71.4638030888 51.128698564, 71.4638426147 51.1287983492)"
19141732935448794,1,0,1,0,"LINESTRING (71.4582313781 51.1301794213, 71.458085851 51.1298146797)"
19141732935448795,1,0,1,0,"LINESTRING (71.4581032784 51.1298119738, 71.4582488054 51.1301767153)"
19141732935448798,3011,125,5123,213,"MULTILINESTRING ((71.4966078562 51.1293748438, 71.49666318788692 51.12929251397814), (71.49666318788692 51.12929251397814, 71.4966635518 51.1292919725, 71.4966630128 51.1292931, 71.49666318788692 51.12929251397814), (71.49666318788692 51.12929251397814, 71.49667910682919 51.12923923273809), (71.49667910682919 51.12923923273809, 71.4966791824 51.1292389798, 71.4966790926 51.1292399382, 71.49667910682919 51.12923923273809), (71.49667910682919 51.12923923273809, 71.4966799909 51.1291954018))"
19141732935448799,5172,215,6299,262,"LINESTRING (71.4966977776 51.1291955145, 71.4966968793 51.1292400509, 71.4966967894 51.1292410093, 71.4966806198 51.1292951295, 71.4966800808 51.129296257, 71.4966243852 51.1293791283)"
19141732935448820,370,15,496,20,"LINESTRING (71.4842211664 51.129385386, 71.4855201303 51.1297501309)"
19141732935448854,992,41,2601,108,"LINESTRING (71.478054771 51.1300062962, 71.4776945466 51.1293805377)"
19141732935448857,374,15,946,39,"LINESTRING (71.4814520197 51.1292356537, 71.4780662694 51.1300096787)"
19141732935448878,1,0,1,0,"LINESTRING (71.4970760581 51.1291119663, 71.4971784661 51.1291407177)"
19141732935448906,527,21,1426,59,"LINESTRING (71.4988151965 51.1296018655, 71.4991134372 51.1296858638)"
19141732935448907,562,23,1633,68,"LINESTRING (71.4991062507 51.129696124, 71.49880801 51.1296121257)"
19141732935448919,1,0,1,0,"LINESTRING (71.458054949 51.1303680485, 71.4580899833 51.1303178757, 71.4580906121 51.1303171429, 71.4582325459 51.1301750805)"
19141732935448933,2,0,1,0,"LINESTRING (71.4580205435 51.130596531, 71.4581391211 51.1305779277)"
19141732935448988,1,0,1,0,"LINESTRING (71.4965928543 51.1298875719, 71.4970491985 51.1292973281)"
19141732935448989,1,0,1,0,"LINESTRING (71.4970651885 51.1293021764, 71.4966088444 51.1298924201)"
19141732935448990,216,9,701,29,"MULTILINESTRING ((71.4965938425 51.1298865572, 71.49688253817133 51.12965418252276), (71.49688253817133 51.12965418252276, 71.4968831 51.1296537303, 71.4968822915 51.1296544631, 71.49688253817133 51.12965418252276), (71.49688253817133 51.12965418252276, 71.4969829028 51.1295400224))"
19141732935448991,550,22,557,23,"LINESTRING (71.4969985335 51.1295454344, 71.4968979222 51.1296598751, 71.4968971137 51.129660608, 71.4966078562 51.1298934348)"
19141732935449053,386,16,1914,79,"LINESTRING (71.4569084292 51.1307701612, 71.4572452974 51.1307177339, 71.4572451178 51.1307177903, 71.4572675756 51.1307138442)"
19141732935449069,1834,76,3838,159,"LINESTRING (71.464261589 51.1308032523, 71.4642355378 51.1308404586)"
19141732935449078,223,9,594,24,"LINESTRING (71.4963413261 51.1300217992, 71.496346716 51.1298831183, 71.4963468058 51.1298823855, 71.4963854333 51.1297318655, 71.496385613 51.1297312454, 71.4964125625 51.1296703608, 71.496412832 51.1296697971, 71.4964568494 51.1295987649, 71.4964569392 51.1295986522, 71.4966078562 51.1293748438)"
19141732935449095,361,15,484,20,"LINESTRING (71.4855551646 51.1297722297, 71.4855129438 51.1297603911)"
19141732935449131,218,9,191,7,"LINESTRING (71.4855669326 51.1297692982, 71.4850450114 51.1305258385)"
19141732935449139,466,19,891,37,"LINESTRING (71.4926843744 51.130451087, 71.4928927835 51.1302081157)"
19141732935449156,383,15,629,26,"LINESTRING (71.4962216705 51.1304086376, 71.4964318762 51.1301143656)"
19141732935449159,1917,79,1988,82,"LINESTRING (71.4649002013 51.1299001998, 71.4648319293 51.1298810325)"
19141732935449168,147,6,270,11,"LINESTRING (71.4877551388 51.1303781394, 71.4885672158 51.130605889)"
19141732935449183,544,22,1529,63,"LINESTRING (71.4998946122 51.130062445, 71.4996260159 51.1299795748, 71.4996256566 51.1299794621, 71.4994711463 51.1299253427, 71.4994691701 51.1299243844, 71.4991035557 51.1296949402)"
19141732935449210,481,20,895,37,"LINESTRING (71.4961444154 51.1305180026, 71.4962216705 51.1304086376)"
19141732935449224,167,6,444,18,"LINESTRING (71.4962335282 51.1304058189, 71.4964634969 51.1304717762)"
19141732935449225,30,1,90,3,"LINESTRING (71.4964561308 51.1304819234, 71.496226162 51.1304159662)"
19141732935449240,1,0,1,0,"MULTILINESTRING ((71.4934032063 51.1306614169, 71.4933600871 51.1306371763, 71.4933578413 51.130635316, 71.493339875 51.1306105116, 71.4933391564 51.1306079184, 71.49334718792322 51.13050879473278), (71.49334718792322 51.13050879473278, 71.4933472412 51.1305081372, 71.4933473311 51.130509321, 71.49334718792322 51.13050879473278), (71.49334718792322 51.13050879473278, 71.49334148301917 51.13048782552247), (71.49334148301917 51.13048782552247, 71.4933410429 51.1304862078, 71.4933431988 51.1304890265, 71.49334148301917 51.13048782552247), (71.49334148301917 51.13048782552247, 71.49332113843663 51.13047358513348), (71.49332113843663 51.13047358513348, 71.4933198426 51.1304726781, 71.4933229867 51.1304740875, 71.49332113843663 51.13047358513348), (71.49332113843663 51.13047358513348, 71.49318352250958 51.1304361804892), (71.49318352250958 51.1304361804892, 71.4931819512 51.1304357534, 71.493185275 51.1304362044, 71.49318352250958 51.1304361804892), (71.49318352250958 51.1304361804892, 71.49314561257037 51.13043566324983), (71.49314561257037 51.13043566324983, 71.4931439525 51.1304356406, 71.4931468271 51.1304354151, 71.49314561257037 51.13043566324983), (71.49314561257037 51.13043566324983, 71.49310959528572 51.13044302221636), (71.49310959528572 51.13044302221636, 71.4931081995 51.1304433074, 71.4931108945 51.1304424055, 71.49310959528572 51.13044302221636), (71.49310959528572 51.13044302221636, 71.4929707573 51.1305089264, 71.4929669844 51.1305099975, 71.4929283568 51.1305145074, 71.4929256619 51.1305145638, 71.492869068 51.1305100539))"
19141732935449260,3034,126,6259,260,"LINESTRING (71.5010008874 51.1303589723, 71.5012640938 51.1304333857)"
19141732935449271,1373,57,3160,131,"LINESTRING (71.4786294233 51.1309495971, 71.4786671525 51.1310132987)"
19141732935449272,232,9,443,18,"LINESTRING (71.4786557439 51.1310099727, 71.4815689804 51.1303419474)"
19141732935449279,1,0,1,0,"MULTILINESTRING ((71.4597693837 51.1299939503, 71.459738841 51.1299195362, 71.4597390207 51.1299199872, 71.4597048847 51.1298574116, 71.4597046152 51.1298568478, 71.4596605977 51.1297367701, 71.4596605079 51.1297363191, 71.4596524231 51.1297024944, 71.4596523332 51.129701987, 71.45964874 51.1296625247, 71.4596495485 51.1296599315, 71.4597070406 51.1295810069, 71.4597077593 51.1295801612, 71.4597930992 51.1295029277, 71.4597934586 51.1295026459, 71.45985287289076 51.12945478592083), (71.45985287289076 51.12945478592083, 71.4598536457 51.1294541634, 71.4598524779 51.1294553473, 71.45985287289076 51.12945478592083), (71.45985287289076 51.12945478592083, 71.45988234684877 51.12941289616645), (71.45988234684877 51.12941289616645, 71.4598830206 51.1294119386, 71.4598823019 51.1294140808, 71.45988234684877 51.12941289616645), (71.45988234684877 51.12941289616645, 71.45988317278645 51.12939112842463), (71.45988317278645 51.12939112842463, 71.4598832003 51.1293904033, 71.4598834698 51.1293918691, 71.45988317278645 51.12939112842463), (71.45988317278645 51.12939112842463, 71.4598493338 51.1293067427))"
19141732935449287,74,3,8,0,"LINESTRING (71.4712314376 51.1301791394, 71.4711901151 51.1304395868, 71.4711900252 51.1304399814, 71.4711127701 51.1307252316, 71.4711125905 51.130725739, 71.4710038943 51.1309850558, 71.4710037147 51.130985394, 71.4709066966 51.1311702973)"
19141732935449297,1,0,1,0,"LINESTRING (71.4706086356 51.1286241478, 71.4708179431 51.1291422399, 71.4708180329 51.1291425217, 71.4708863049 51.1293528012, 71.4708863947 51.1293530831, 71.4709429885 51.129589294, 71.4709430784 51.1295898577, 71.4709610447 51.129842416, 71.4709610447 51.1298427542, 71.4709493666 51.1301437929, 71.4709493666 51.1301441875, 71.4709071458 51.1304153461, 71.4709070559 51.1304157407, 71.4708333941 51.1306868977, 71.4708332144 51.130687405, 71.4707299082 51.1309337563, 71.4707297285 51.1309340945, 71.4706354054 51.1311099783)"
19141732935449321,2014,83,5318,221,"LINESTRING (71.4841196568 51.1295116658, 71.4842094883 51.1293882047)"
19141732935449342,156,6,280,11,"LINESTRING (71.4885673954 51.1306059454, 71.4886194977 51.1306211662)"
19141732935449345,581,24,1003,41,"LINESTRING (71.4904509829 51.1301731074, 71.4898598915 51.1309741758)"
19141732935449360,172,7,133,5,"LINESTRING (71.4843971464 51.131413771, 71.485028662 51.130521385)"
19141732935449395,688,28,1225,51,"LINESTRING (71.4692066349 51.1311150519, 71.4689452252 51.1310406396)"
19141732935449397,994,41,3262,135,"LINESTRING (71.4706353156 51.1311101474, 71.4705445857 51.1312640452, 71.4705444061 51.1312643271, 71.470415947 51.1314492293)"
19141732935449398,1476,61,3587,149,"LINESTRING (71.4635876728 51.1317379119, 71.4637071488 51.131567104)"
19141732935449408,47,1,47,1,"MULTILINESTRING ((71.4870593936 51.1310988729, 71.48710640822539 51.13110666629154), (71.48710640822539 51.13110666629154, 71.4871070043 51.1311067651, 71.4871062856 51.1311066523, 71.48710640822539 51.13110666629154), (71.48710640822539 51.13110666629154, 71.48714482318591 51.13111104943349), (71.48714482318591 51.13111104943349, 71.4871458115 51.1311111622, 71.4871436555 51.1311111058, 71.48714482318591 51.13111104943349), (71.48714482318591 51.13111104943349, 71.48718848645437 51.1311089417211), (71.48718848645437 51.1311089417211, 71.4871903679 51.1311088509, 71.4871868645 51.131109471, 71.48718848645437 51.1311089417211), (71.48718848645437 51.1311089417211, 71.48720791177551 51.13110260281737), (71.48720791177551 51.13110260281737, 71.4872093224 51.1311021425, 71.4872068071 51.1311033827, 71.48720791177551 51.13110260281737), (71.48720791177551 51.13110260281737, 71.48722020201251 51.13109392611357), (71.48722020201251 51.13109392611357, 71.4872211801 51.1310932356, 71.487219653 51.1310947013, 71.48722020201251 51.13109392611357), (71.48722020201251 51.13109392611357, 71.4872412126 51.1310642599, 71.4872413024 51.1310642035, 71.4877434607 51.1303809581))"
19141732935449410,34,1,66,2,"LINESTRING (71.4850405198 51.1305185663, 71.4870608309 51.1310992111)"
19141732935449444,74,3,8,0,"LINESTRING (71.4705999219 51.131603746, 71.4707948564 51.1313280846, 71.4707946767 51.1313284229, 71.4708898981 51.1311666331)"
19141732935449456,600,25,1191,49,"MULTILINESTRING ((71.5015272104 51.1305072352, 71.5027147683148 51.13084152550991), (71.5027147683148 51.13084152550991, 71.5027147832 51.1308415297, 71.5027139747 51.1308413606, 71.5027147683148 51.13084152550991), (71.5027147683148 51.13084152550991, 71.5028496203 51.1308695472))"
19141732935449500,157,6,280,11,"LINESTRING (71.4898554897 51.1309666782, 71.4911912845 51.1313438126)"
19141732935449566,64,2,134,5,"LINESTRING (71.4642571872 51.1307959238, 71.4683058942 51.1319803115)"
19141732935449568,464,19,1007,41,"LINESTRING (71.4689570829 51.1310377082, 71.4685321798 51.1316555522)"
19141732935449580,326,13,493,20,"LINESTRING (71.4962694608 51.1301493175, 71.4954852316 51.1312519815)"
19141732935449581,1651,68,2344,97,"LINESTRING (71.4954688823 51.1312474717, 71.4962531115 51.1301448076)"
19141732935449601,117,4,273,11,"LINESTRING (71.4956154873 51.1312886237, 71.4955067912 51.1314419572)"
19141732935449623,109,4,204,8,"LINESTRING (71.4919781189 51.1315767437, 71.4911840082 51.1313540724)"
19141732935449640,1,0,1,0,"LINESTRING (71.4594570395 51.1322547289, 71.4592414438 51.1322789686)"
19141732935449641,590,24,194,8,"LINESTRING (71.4592383896 51.1322679198, 71.4594539852 51.1322436801)"
19141732935449662,1961,81,4445,185,"LINESTRING (71.4791813482 51.1319314935, 71.4786504439 51.131017132)"
19141732935449664,1267,52,3353,139,"MULTILINESTRING ((71.4830886603 51.1310658947, 71.48298451796404 51.13106812899398), (71.48298451796404 51.13106812899398, 71.4829835575 51.1310681496, 71.4829854439 51.1310679805, 71.48298451796404 51.13106812899398), (71.48298451796404 51.13106812899398, 71.4829045955 51.1310809463, 71.482905404 51.1310808335, 71.4828173691 51.1311005641, 71.4828175488 51.1311005077, 71.4825956649 51.1311529345))"
19141732935449688,697,29,1246,51,"LINESTRING (71.5035430299 51.1309328543, 71.5035915389 51.1309463838)"
19141732935449711,927,38,2602,108,"LINESTRING (71.464707333 51.1318624942, 71.4664303017 51.1323816774)"
19141732935449740,25,1,68,2,"LINESTRING (71.4919853953 51.1315664839, 71.4932654945 51.1319323391)"
19141732935449743,24,1,39,1,"LINESTRING (71.4937137539 51.1313201924, 71.4932699861 51.1319397238)"
19141732935449755,401,16,620,25,"MULTILINESTRING ((71.4959177704 51.1313654033, 71.4958557867 51.1313028297, 71.4958547087 51.1313013076, 71.4958322508 51.1312471898, 71.4958320711 51.1312448221, 71.4958536307 51.1311687189, 71.4958541697 51.1311675914, 71.49610357718763 51.130784189042664), (71.49610357718763 51.130784189042664, 71.4961039013 51.1307836908, 71.4961034522 51.1307845364, 71.49610357718763 51.130784189042664), (71.49610357718763 51.130784189042664, 71.49612847667393 51.1307149900353), (71.49612847667393 51.1307149900353, 71.496128605 51.1307146334, 71.4961284253 51.1307156481, 71.49612847667393 51.1307149900353), (71.49612847667393 51.1307149900353, 71.4961436967 51.130520032))"
19141732935449779,664,27,1105,46,"LINESTRING (71.472247522 51.1320993124, 71.4721190629 51.1320637982)"
19141732935449796,1550,64,3728,155,"LINESTRING (71.4629831066 51.1326094735, 71.4630882095 51.132457835)"
19141732935449820,245,10,562,23,"LINESTRING (71.4873526935 51.1322498246, 71.4853781965 51.1316956892)"
19141732935449823,72,3,103,4,"LINESTRING (71.4886238096 51.1306286075, 71.4874101857 51.1322600278)"
19141732935449825,471,19,1073,44,"LINESTRING (71.4738420316 51.132544083, 71.4735392994 51.1324595262)"
19141732935449826,17,0,38,1,"LINESTRING (71.4744901661 51.1320477886, 71.4753202094 51.1318487958)"
19141732935449856,131,5,287,11,"LINESTRING (71.5050539063 51.1319188662, 71.5052578239 51.1316336234)"
19141732935449882,1994,83,3743,155,"LINESTRING (71.4677547778 51.1327931865, 71.4673882651 51.1326826995)"
19141732935449884,506,21,1123,46,"LINESTRING (71.4683102959 51.1319875835, 71.4681494975 51.1322243446)"
19141732935449893,1127,46,2107,87,"LINESTRING (71.5005784996 51.1309504427, 71.5009369274 51.1304346259, 71.5009369274 51.1304345131, 71.5009890297 51.130361791)"
19141732935449937,606,25,1066,44,"LINESTRING (71.4758081743 51.1327850691, 71.4760668891 51.132682474, 71.4760679671 51.1326820794, 71.4766824147 51.1325067653, 71.4766828639 51.1325067089, 71.4785315967 51.1320455901, 71.4785320459 51.1320454774, 71.4788778973 51.1319727577, 71.4788785261 51.1319725886, 71.4791875466 51.1319241088)"
19141732935449951,231,9,534,22,"LINESTRING (71.4874056941 51.1322525304, 71.4886489625 51.1326003414)"
19141732935449953,184,7,363,15,"LINESTRING (71.4898598915 51.1309741758, 71.488653454 51.1326078387)"
19141732935449973,384,16,966,40,"LINESTRING (71.4950918593 51.1324452642, 71.4950577234 51.1324971258)"
19141732935449978,419,17,920,38,"LINESTRING (71.4738492182 51.1325338234, 71.4739426429 51.1325597542)"
19141732935449980,381,15,962,40,"LINESTRING (71.4758176964 51.1327945394, 71.4755733547 51.1328914971, 71.4755711089 51.1328921172, 71.4754183953 51.1329203026)"
19141732935449984,1220,50,3097,129,"LINESTRING (71.4797167441 51.1328453295, 71.4792711797 51.1321198317, 71.4792710001 51.1321194371, 71.4791811685 51.1319311553)"
19141732935449987,1,0,1,0,"MULTILINESTRING ((71.4851938622 51.1326934099, 71.48324492473095 51.132126432724554), (71.48324492473095 51.132126432724554, 71.483244518 51.1321263144, 71.4832454164 51.1321265399, 71.48324492473095 51.132126432724554), (71.48324492473095 51.132126432724554, 71.48307538715441 51.13208947643154), (71.48307538715441 51.13208947643154, 71.4830747365 51.1320893346, 71.4830761738 51.1320895601, 71.48307538715441 51.13208947643154), (71.48307538715441 51.13208947643154, 71.48291910866227 51.13207285448545), (71.48291910866227 51.13207285448545, 71.482917172 51.1320726485, 71.4829211245 51.1320724794, 71.48291910866227 51.13207285448545), (71.48291910866227 51.13207285448545, 71.4827666143 51.132101229, 71.482767333 51.1321011163, 71.4797283324 51.132848599))"
19141732935450017,49,2,280,11,"LINESTRING (71.4591706566 51.1331725044, 71.459132029 51.1331166977, 71.45913149 51.1331157958, 71.458817978 51.1323198379)"
19141732935450018,1,0,1,0,"LINESTRING (71.4595224368 51.1333646707, 71.4594155373 51.1331397532, 71.4594154475 51.1331395277, 71.4590785793 51.1322979095)"
19141732935450051,470,19,650,27,"LINESTRING (71.4677622338 51.1327829833, 71.4691366562 51.1331601029)"
19141732935450052,704,29,1181,49,"LINESTRING (71.4691249781 51.1331628651, 71.4701858884 51.1317355443)"
19141732935450084,1,0,1,0,"LINESTRING (71.4945418209 51.1327712018, 71.4953709659 51.1316043098)"
19141732935450112,571,23,1541,64,"LINESTRING (71.4629428621 51.1326848979, 71.4635537165 51.1328573928)"
19141732935450114,311,12,689,28,"LINESTRING (71.4663472974 51.1324825256, 71.4664182643 51.1323844396)"
19141732935450116,106,4,248,10,"LINESTRING (71.4899775708 51.1329871582, 71.4886417759 51.1326106009)"
19141732935450118,13,0,28,1,"LINESTRING (71.4899730792 51.1329796609, 71.4911795166 51.1313465748)"
19141732935450136,190,7,458,19,"LINESTRING (71.4852014081 51.1326832632, 71.4866342209 51.1330998429)"
19141732935450138,1568,65,1429,59,"LINESTRING (71.4592485405 51.1322720913, 71.4595836121 51.1331108915, 71.4595835223 51.1331106661, 71.4597146763 51.1333851894)"
19141732935450141,1651,68,2008,83,"MULTILINESTRING ((71.4599141921 51.1333486052, 71.45997236749422 51.13347384741205), (71.45997236749422 51.13347384741205, 71.4599725826 51.1334743105, 71.4599722233 51.1334736341, 71.45997236749422 51.13347384741205), (71.45997236749422 51.13347384741205, 71.4601581746 51.133748719, 71.4601577254 51.1337482681, 71.4604406947 51.1340752111, 71.4604406049 51.134075042, 71.4607792698 51.1344420047))"
